Title,Developer,Genre,Price,Release Date
Sorcerer Standoff,Team Deuces,Free To Play,Free,"15 Oct, 2022"
Oathbreakers,Warcrown Entertainment,Adventure,Free,"18 Oct, 2022"
Slender Myth,Steel Rain Studios,Indie,Free,Coming soon
Skader,DreamTeam Mobile,Racing,Free To Play,"20 Apr, 2023"
Acretia - Guardians of Lian,"Ozaak, inc.",RPG,$8.19 USD,"13 Oct, 2022"
Hellventure,Magyu Studio,Adventure,Free,To be announced
Realm of the Fallen,Virtual Destructor LLC,Adventure,$5.49 USD,"4 Dec, 2023"
Emberfate: Tempest of Elements,Wind Chimes Games Limited,Wind Chimes Games Limited,Free To Play,"26 Jan, 2023"
DJMAX RESPECT V - V EXTENSION III PACK,NEOWIZ,Casual,$24.99 USD,"15 Nov, 2022"
99 Fails,Frying Jelly,Adventure,Free,Coming soon
Assassin's Vol. - adult patch,Lovely Games,Casual,Free To Play,"26 Oct, 2022"
Limited Digital Bonus - Horse Tales: Emerald Valley Ranch,Aesir Interactive,Adventure,$3.50 USD,"4 Nov, 2022"
Puzzle Pieces 5: Fairy Ring,Graphium Studio,Casual,$5.49 USD,"24 Nov, 2022"
MeiQi 2021,QZQ Studio,Early Access,Free,Coming soon
Fortune Handlers,FH games,Indie,Free,Coming soon
Strike Zero,SUMCLOUD Games,Adventure,Free,"7 Dec, 2020"
SEARCH ALL - MICE,Laush Dmitriy Sergeevich,Indie,Free,"8 Nov, 2022"
College Kings 2 - Episode 1 Supporter Upgrade,Undergrad Steve,Casual,$5.49 USD,"4 Nov, 2022"
Breathe With You,いちえ工房,いちえ工房,$5.49 USD,"3 May, 2024"
Catching Spirits,Holy Moka Games,Indie,Free,To be announced
いのちのないうた,HataIkeda,Casual,Free,"25 Apr, 2023"
Draft Day Sports: Pro Football 2023,Wolverine Studios,Simulation,$12.99 USD,"19 Oct, 2022"
Ashkeep,REK digital,Indie,Free,To be announced
DRAGON BALL Z: KAKAROT - BARDOCK - Alone Against Fate,CyberConnect2 Co. Ltd.,RPG,Free,"12 Jan, 2023"
Eureka,Coding Duck,Early Access,$5.49 USD,"21 Oct, 2022"
The Callisto Protocol - Radeon Skin,Striking Distance Studios,Adventure,Free,"20 Dec, 2023"
Lunar Axe Soundtrack,Ops Game Studio,Ops Game Studio,$0.90 USD,"27 Sep, 2022"
Skeleton Punchers,Mooptychunk,Indie,$2.99 USD,"19 Apr, 2023"
Magic Bubbles,Andrei Zanoaga,Indie,$2.99 USD,"16 Nov, 2022"
Farm Wars,Defity[3],Casual,Free,Coming soon
²Pattern,Ismaine SA,Indie,$1.29 USD,Oct 2022
Stop Dead,Gridsnap Games LLC,Indie,$6.99 USD,"5 Oct, 2023"
Aurora Chronicles,Dy'vineValentine,Indie,$4.49 USD,"11 Nov, 2022"
#INNER UNIVERSE 1F0000,The_Ear_Man,The_Ear_Man,Free,2024
YeahZapRUN,siebenhertz,Indie,$5.49 USD,"30 Jun, 2023"
As Dusk Falls Original Soundtrack,INTERIOR/NIGHT,Xbox Game Studios,$5.49 USD,"28 Sep, 2022"
PEP,Tybug Studios,Casual,Free To Play,"13 Dec, 2022"
So Much Stuff,Tiny Little Lion,Tiny Little Lion,$6.19 USD,"1 Mar, 2023"
Emancipator GO!,Mandinga,Adventure,Free,To be announced
Dungeon Renovators,Sentient Play,Simulation,Free,To be announced
Acretia - Guardians of Lian,"Ozaak, inc.",RPG,$8.19 USD,"13 Oct, 2022"
Rayless Blade,Kong Studio LLC,Adventure,Free,To be announced
Dead Space Digital Deluxe Edition Upgrade,Motive,Adventure,$9.99 USD,"27 Jan, 2023"
Magecraft,Mashup Studios,Mashup Studios,$1.89 USD,"26 Sep, 2023"
Spinout Drifter,Socks Off Studios,Racing,Free,"7 Dec, 2022"
Molytropia: Cloud in Shape of Hurt,Bite The Rock,Indie,Free To Play,"7 Dec, 2022"
FEATHERED RUN,Piece Of Voxel,Casual,Free,"20 Oct, 2022"
Ceplion,Mert Ali Barlas,Adventure,Free,Coming soon
Escape From The Red Planet,Frosty Pop,Indie,$3.49 USD,"14 Mar, 2023"
Punzel: Chapter I - Toujours la Meme Histoire,Greater Games,Indie,$4.49 USD,"21 Dec, 2023"
SENTINEL,Jack Perkins,Adventure,Free To Play,"29 Jan, 2023"
PumPum - Girls Pack #5,Shmoops Games,Casual,$2.99 USD,"8 Oct, 2022"
Samurai's Zenith: Shifting of the Guard,Midnight Oil Industries,Indie,$1.29 USD,"30 Nov, 2022"
Catsploration,Boxd20 LLC,Casual,Free,Coming soon
Hot Pussy College 🍓🔞,Octo Games,Indie,$3.99 USD,"15 Oct, 2022"
City of Murals,Brotherly,Adventure,$6.99 USD,"16 Aug, 2023"
Tomb of the Dead,Cult Software,Cult Software,Free,"9 Oct, 2022"
Island of Aito: Life After Death,Nevan Games,Simulation,Free,"24 Oct, 2022"
Azazel's Christmas Fable,Greg Muhlbock,Indie,$7.99 USD,"29 Nov, 2022"
Loading...,Dzuy Anh Do,Adventure,Free,Coming soon
Dicknosaurus Prologue,DuckBoatGames,Adventure,Free,Coming soon
It's Locked,Tiny Can of Brains,Indie,$2.99 USD,"31 Oct, 2022"
Textbound Tales,Godspear Games,RPG,Free,Coming soon
AevumCore,Nexus Entertainment Software,Adventure,Free,"31 Oct, 2022"
Raige,Chase Williamson,Indie,$1.89 USD,"28 Feb, 2024"
Color Zone,Anoberia Games,Casual,Free To Play,"2 Jan, 2023"
Bitter Belief,DOGS ARE NOT SAINTS,Adventure,$0.90 USD,"4 Nov, 2022"
Dicknosaurus Prologue,DuckBoatGames,Adventure,Free,Coming soon
Lighten Up,Snowdrop,Indie,$0.90 USD,"2 Nov, 2022"
Antrabhara,Nekoday,Casual,$6.99 USD,"19 Apr, 2023"
FrogJump,Individual,Adventure,$0.90 USD,"28 Jan, 2023"
Keep of the Witch,regalfang,Adventure,$2.99 USD,"21 Nov, 2022"
Sorry We're Open,oates,RPG,$4.49 USD,"17 Feb, 2023"
A Maiden Astrologer Divines the Future,Rosetta,Indie,$6.19 USD,"25 Jan, 2023"
For Mother Matron,Velvetique Games,Free To Play,Free,"17 Oct, 2022"
Plow the Snow!,Baked Games,Indie,Free,To be announced
Bargain Platformer,José Lousa,Casual,$2.49 USD,"7 Nov, 2022"
Otherworld Legends - Uliana,ChillyRoom,Indie,$1.29 USD,"20 Oct, 2022"
缄默咖啡厅,plasmafall,Indie,Free To Play,"14 Oct, 2022"
MiLu MiLan,SPIRIT3D,Casual,$1.29 USD,"20 Sep, 2023"
Otherworld Legends - Skin : Nutcracker,ChillyRoom,Indie,$2.49 USD,"20 Oct, 2022"
Otherworld Legends - Mirelha,ChillyRoom,Indie,$1.29 USD,"20 Oct, 2022"
Otherworld Legends - Skin : Jungle Adventurer,ChillyRoom,Indie,$2.49 USD,"19 Oct, 2022"
Dreamcutter,Ten Pennyfingers,Adventure,$8.19 USD,"25 May, 2023"
DOORS,Trimato3D,Casual,$1.89 USD,"21 Oct, 2022"
夢隠し - Dreamed Away,SnowCable,Simulation,$1.89 USD,"7 Oct, 2022"
Ornament Express,Choo Choo Studios,Choo Choo Studios,Free,"6 Jun, 2023"
Summer Crush,Wet n' Juicy Games,Wet n' Juicy Games,$5.50 USD,"25 Nov, 2022"
OVRLRD,Niall Slater,Indie,$8.49 USD,"9 Sep, 2024"
Divided Skies,Our Sun,Adventure,Free,"21 Jun, 2023"
Like a Dragon: Ishin! - Bonechewer Katana,Ryu Ga Gotoku Studio,Adventure,Free,"2 Mar, 2023"
Level Zero: Extraction,Doghowl Games,Adventure,$8.19 USD,"13 Aug, 2024"
Like a Dragon: Ishin! - Waterdrop Katana,Ryu Ga Gotoku Studio,Adventure,Free,"2 Mar, 2023"
Area: Zero,Unknown Digital World,Unknown Digital World,Free,Coming soon
Liber Prologue,OLKON GAMES,Adventure,Free To Play,"13 Dec, 2022"
The Archipelago Promise,An Otter Game Studio,An Otter Game Studio,Free,"22 Jun, 2023"
S.P.L.I.C.E.D.,Fishbait Studios,Adventure,Free,"20 Jun, 2023"
Witch Guild Survivor,Sunshine.Inc,Casual,$2.49 USD,"15 Feb, 2023"
Small Cell,Phlegma Games,Adventure,Free,Coming soon
Match Match Mania!,Dashing Cape,Indie,$6.99 USD,"1 Nov, 2022"
Witch Guild Survivor,Sunshine.Inc,Casual,$2.49 USD,"15 Feb, 2023"
Shatter Remastered Deluxe Soundtrack,PikPok,PikPok,$1.89 USD,"13 Nov, 2022"
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Noble Estate,"SmiteWorks USA, LLC",RPG,$6.99 USD,"18 Oct, 2022"
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Bigger Taverns,"SmiteWorks USA, LLC",RPG,$8.19 USD,"1 Nov, 2022"
Drift86 - Map Pack,RewindApp,Indie,Free,"28 Oct, 2022"
Pitstop in Purgatory Soundtrack,Tymedust Games,Tymedust Games,$1.29 USD,"13 Oct, 2022"
Rage Night,Netcode Studios Inc,RPG,Free To Play,"15 Dec, 2022"
Emilia's PLAYROOM,Marmalade Star,Casual,$7.29 USD,"29 Oct, 2022"
For a Vast Future OST,Retreaux Games,Retreaux Games,$2.49 USD,"14 Nov, 2022"
Cafe Simulator,Shawk Studios,Adventure,Free,May 2025
Shipwrecked,Advanced Revolutionary Kinetics LLC,Indie,Free,Coming soon
Enter the Chronosphere Demo,Effort Star,Indie,Free,"12 May, 2024"
ALTAIR BREAKER - ROYAL SET,"Thirdverse, Co., Ltd.",RPG,$1.29 USD,"16 Nov, 2022"
Conquer: Napoleonic Wars,Estuego Games,Indie,Free,"5 Dec, 2022"
Doom Sweeper,Paper Dog,Indie,$2.99 USD,"8 Jun, 2024"
Filthy us 2,Game Logic Studio,Indie,$5.60 USD,"28 Apr, 2023"
SNEK,Kristoffer Jetmundsen,Casual,Free,Coming soon
E.E.R.I.E2,Ureasoft,Ureasoft,$4.49 USD,"16 Jun, 2024"
Shepherd's Crossing,SUCCESS,Simulation,$29.99 USD,"26 Apr, 2023"
Fraction Reaction,Sila,RPG,$2.49 USD,"8 Oct, 2022"
Draco,Javier Beltrán Prats,Adventure,Free,"11 Oct, 2022"
shapez 2,tobspr Games,Indie,$7.99 USD,"15 Aug, 2024"
Pricia Defense,PanzerSoft,RPG,$6.49 USD,"24 Mar, 2023"
Abnormal Status ~Tattoo / Prohibited Books / Parasites~,Octopig,RPG,$6.79 USD,"20 Jul, 2023"
Rustil: Eternal Labyrinth Castle,KIC Games,Indie,$6.99 USD,"25 Apr, 2024"
Star Conflict - Irbis,Star Gem Inc.,Massively Multiplayer,$29.99 USD,"16 Nov, 2022"
Shadow's Bullet,T4 Studio,Indie,Free,Coming soon
Borealis Descent,Zabdiel Mendoza,Adventure,Free,Coming soon
Anime Girls Trample,PaulArt,Simulation,$0.90 USD,"8 Dec, 2022"
The Magic Garden  魔法花园,AKIHA0416,Casual,Free,Coming soon
Sailing Era,GY Games,RPG,$8.49 USD,"11 Jan, 2023"
Insurgence - Last Wishes,Platomenti,RPG,Free,To be announced
Hack & Schlitz - Dreed,RadGames,Casual,$0.90 USD,"30 Sep, 2022"
Strayed Lights,Embers,Adventure,$7.49 USD,"25 Apr, 2023"
Terracotta Soundtrack,Appnormals Team,indie.io,Free,"14 Nov, 2022"
拯救公主-宿命的破除,Mutual Fun Studio,RPG,Free,"18 Nov, 2022"
Ooglians,Simon Bäckström,Indie,$1.29 USD,"15 Dec, 2022"
Deck 'Em!,Frosty Pop,Indie,$1.89 USD,"7 Mar, 2023"
Machine Gun Fury,Reset Games Ltd,Indie,$6.19 USD,"28 Oct, 2022"
VR Run,Elvio Lujan,Simulation,$3.49 USD,"5 Nov, 2022"
The Passenger,Hosted Games,Indie,$3.99 USD,"29 Dec, 2022"
Legion TD 2 - Desert Ridge Campaign,AutoAttack Games,Indie,$5.99 USD,"1 Dec, 2022"
The Passenger,Hosted Games,Indie,$3.99 USD,"29 Dec, 2022"
Robo50,Reset Games Ltd,Indie,Free,Coming soon
Road Trip USA 2: West Collector's Edition,Max the Cat Studios Ltd.,Casual,$3.99 USD,"29 Nov, 2022"
CRAP,Madnex,Strategy,Free To Play,"2 Dec, 2022"
House of Pain,Reset Games Ltd,Adventure,Free,Coming soon
Lost Eidolons - Artbook & World Map,"Ocean Drive Studio, Inc.",RPG,Free,"13 Oct, 2022"
Lost Eidolons - Original Soundtrack,"Ocean Drive Studio, Inc.","Ocean Drive Studio, Inc.",Free,"13 Oct, 2022"
Spiritus Vindicta,Dave Schab Games,Indie,Free,"18 Oct, 2024"
Existence: The Outer Reach,Cozy Orchards,Simulation,Free,Coming soon
Lazerball,ICY Games,Indie,$6.19 USD,"9 Dec, 2022"
Larcenauts Spectator Mode,"Impulse Gear, Inc.",Video Production,Free,"17 Nov, 2022"
Routemania,Roadtrip Games,Indie,$2.99 USD,"1 Nov, 2022"
Mist Legacy,Virtys,Massively Multiplayer,Free To Play,"13 Sep, 2022"
AColony,ZeroTris,Simulation,$8.19 USD,"19 Jan, 2023"
Sailing Era,GY Games,RPG,$8.49 USD,"11 Jan, 2023"
The Tower,Thomas Tavera,Thomas Tavera,Free,"8 Nov, 2022"
FAKE SIGNALS,Vona Soft,Indie,$5.49 USD,"24 May, 2023"
Sorry We're Open,oates,RPG,$4.49 USD,"17 Feb, 2023"
A.I. Rising,GameFuns,Simulation,Free,Coming soon
Verses of Enchantment,Nachtvlam,Indie,$8.19 USD,"1 Aug, 2023"
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE Pack 1,QLOC,Adventure,Free,"10 Nov, 2022"
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE Pack Set,QLOC,Adventure,Free,"10 Nov, 2022"
Bike Arena,Balti Calarasi,Casual,$10.49 USD,"27 Dec, 2022"
Ghost Bus Simulator,Chem DV,Casual,$0.90 USD,"9 Dec, 2022"
Wine & War,Happy Max,Indie,Free,Coming soon
Not born to be King,Hashdev,RPG,$2.99 USD,"9 Feb, 2023"
Fantastic Chivalry·Interwoven fates,梦辰游戏,Casual,Free,To be announced
Lysfanga: The Time Shift Warrior,Sand Door Studio,Indie,$12.99 USD,"13 Feb, 2024"
Little Witchelsa: Pumpkin Peril,MixoGames Ltd.,MixoGames Ltd.,$2.99 USD,"14 Oct, 2022"
Box Knight,We Made A Thing Studios,Indie,Free,Coming soon
GigaBash - Godzilla 4 Kaiju Pack,Passion Republic Games,Casual,$5.99 USD,"6 Dec, 2022"
Persona 3 Reload,ATLUS,RPG,$69.99 USD,"1 Feb, 2024"
Mike's Arcade,Mike Sedore,Casual,$4.49 USD,"1 Dec, 2022"
Garden Renovator,Garden Games,Indie,Free,Coming soon
Arcana of Paradise —The Tower—,株式会社タストα,Strategy,$19.99 USD,"19 Apr, 2023"
Scare Girl,PartyGaming,PartyGaming,Free To Play,"4 Nov, 2022"
Oil-Manager,Josh,Indie,$7.79 USD,"14 Oct, 2022"
1428: Shadows over Silesia - Bonus Stories,KUBI Games,Adventure,Free,"4 Oct, 2022"
Truer than You,Transcenders Media AB,Indie,Free,To be announced
Aircraft Pushback Simulator,Thrift Thrift,Casual,Free,"30 Dec, 2022"
Car Detailing Simulator - Track Day DLC,Games Incubator,Indie,Free,"3 Dec, 2022"
Railway Empire 2,Gaming Minds Studios,Strategy,$32.99 USD,"25 May, 2023"
Bramble: The Mountain King,Dimfrost Studio,Indie,$10.49 USD,"27 Apr, 2023"
Roost,Matthew Willis,Matthew Willis,Free,"30 Oct, 2022"
Spin Quest: A Slot Adventure,Lazy Ram,Indie,$2.49 USD,"30 Nov, 2022"
A2C:Ayry seems to be playtesting a 2D runner shooter from Cci Demo,虛幻行者,虛幻行者,Free,"21 Sep, 2022"
SpunkStock: Music Festival,RegulusNSFW,Indie,$6.99 USD,"26 Jan, 2023"
Boti: Byteland Overclocked,Purple Ray Studio,Adventure,$8.19 USD,"15 Sep, 2023"
Rhythm Bang,RiskiVR,Early Access,$5.49 USD,"11 Jun, 2024"
SPY SWATTER 2,Archor Wright,Archor Wright,Free,"6 Oct, 2022"
Slime Ranger Sokoban,Cozy Village,Cozy Village,$1.29 USD,"15 Nov, 2022"
RichBroker,Emergence Games,Indie,$5.49 USD,"3 Nov, 2022"
Rerun,pinnyo,RPG,$3.49 USD,"29 May, 2023"
VOIDCRISIS Original Soundtrack,HEXADRIVE Inc.,HEXADRIVE Inc.,$4.49 USD,"26 Oct, 2022"
Joon Shining Soundtrack,Angus Barnacle,Kna Music,$6.19 USD,"16 Feb, 2023"
Multiverse Mercenaries,Matthew Diamond,Indie,Free,"14 Oct, 2022"
Scrap Bastion,Tadpole Games,Indie,$2.99 USD,"22 Jun, 2023"
Shadow Heroes-4 Epic heroes,Tower Games,Indie,$1.99 USD,"10 Oct, 2022"
Grapple Gunners,Cortland Hansen,Casual,Free,"15 Oct, 2024"
Chromatic::/Resonance,Yensen Lim,Indie,$5.49 USD,"19 Aug, 2024"
Furry Feet - Armpits!,bhungry,Indie,$0.90 USD,"29 Sep, 2022"
RUINSMAGUS - The Warrior and the Tailor ～最強の洋裁師～,CharacterBank inc,RPG,$3.49 USD,"7 Dec, 2022"
I Love Finding Birds,Tiny Little Lion,Tiny Little Lion,$6.19 USD,"19 Dec, 2022"
Aero GPX,Aaron McDevitt,Racing,$8.19 USD,"6 Aug, 2024"
STAR WARS Jedi: Survivor™ Deluxe Upgrade,Respawn,Adventure,$20.00 USD,"27 Apr, 2023"
Grounded (Official Soundtrack),Obsidian Entertainment,Xbox Game Studios,$5.49 USD,"5 Oct, 2022"
Gust,StorySphere,Adventure,$0.90 USD,"14 Oct, 2022"
Wormhole Adventurer,Lakea Games,Strategy,$2.99 USD,"14 Oct, 2022"
VDoll - Uncensored Patch,FoxPunch,FoxPunch,Free,"14 Nov, 2022"
X-Racing,PRO PLAYA DEV,Indie,$3.49 USD,"3 Feb, 2023"
Oroboros,Black Potion,Indie,Free,To be announced
The Backrooms Multiplayer,Untold Backrooms Stories,Adventure,$4.99 USD,"4 Dec, 2022"
Da Tutu,兔兔的游戏,兔兔的游戏,$1.29 USD,"18 Oct, 2022"
Hellboy Web of Wyrd,Upstream Arcade,Adventure,$8.49 USD,"18 Oct, 2023"
Zup! Y,Quiet River,Indie,Free,"20 Nov, 2024"
Many Minigames,Aidan Waite,Casual,$2.99 USD,"21 Nov, 2022"
Hell is Others Soundtrack,Strelka Games,Yonder,$1.99 USD,"20 Oct, 2022"
VariDungeon,ZerLab,Adventure,$1.29 USD,"20 Oct, 2022"
Dallaham,Dallaham,Indie,$5.49 USD,"19 Sep, 2022"
Latin America Empire 2027,iGindisGames,Strategy,Free,"8 Oct, 2022"
Catoise,PoRtCuLLiS Enterprises,Indie,$1.89 USD,"24 Jan, 2023"
I'm Not Happy,Dark Comforts Ltd,Indie,Free,Coming soon
Last Kids on Earth: Hit the Deck!,SMART Technologies,Strategy,$6.99 USD,"17 Feb, 2023"
VR Sniper Hunt,NipsApp Gaming Software Pvt Ltd,Adventure,$0.90 USD,"29 Feb, 2024"
Cricket Heroes - VR,"NipsApp Gaming Software Pvt Ltd, Saturn VR",Indie,Free,Coming soon
Lost Memories,Sheer Studios,Adventure,$0.90 USD,"1 Jan, 2023"
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Tech Dungeon,"SmiteWorks USA, LLC",RPG,$6.79 USD,"11 Oct, 2022"
Astral Tournament - a prequel of the Astral Masters,Apus Software,Strategy,$0.90 USD,"23 Sep, 2022"
LIMINAL,MOOSELFLiES,Indie,Free,Coming soon
Trafficker - 4th Generation Warfare,Eversim,RPG,$3.49 USD,"6 Oct, 2022"
Gelatinous: Humanity Lost,The Retro Room Games,Adventure,$2.99 USD,"10 Aug, 2023"
Spaceship Ace Pilot,Darian Segan,Adventure,$2.99 USD,"15 Mar, 2023"
ENTANGLED SOULS,OKOWA_T,Adventure,$5.49 USD,"9 Sep, 2023"
Godless,Danil Kalyupa,Strategy,$5.49 USD,"3 Jun, 2024"
Havoc,Breakthrough Games,Indie,Free To Play,"22 Jul, 2024"
Fantasy Grounds - FG Medieval Buildings 2 Map Pack,"SmiteWorks USA, LLC",RPG,$5.49 USD,"27 Sep, 2022"
Cornucopia®,Subconscious Games,Casual,$8.49 USD,"31 Jul, 2023"
Angel Legion-DLC Shaohua(Red),Shanghai SilverMoon Network Technology Co.Ltd,RPG,$2.99 USD,"22 Sep, 2022"
Angel Legion-DLC Shaohua(Purple),Shanghai SilverMoon Network Technology Co.Ltd,RPG,$2.99 USD,"22 Sep, 2022"
Enworden,Smart Blob Studios,Strategy,$2.99 USD,"4 Jan, 2023"
CorpoNation: The Sorting Process,Canteen,Simulation,$6.49 USD,"22 Feb, 2024"
Hypersense,Marinosdev134,Indie,$2.49 USD,"9 Dec, 2022"
Trapped with Jester,Anta,Casual,Free,"10 Oct, 2022"
Katana-Ra: Shinobi Rising,W.R.K.S Games,Adventure,$8.19 USD,"25 Apr, 2023"
MORN,Joseph Whitehead,Indie,Free,To be announced
Forge of the Fae,Datadyne LLC,RPG,Free,To be announced
strategy battles​,sb studio,sb studio,$3.49 USD,"1 Dec, 2022"
Land Of Foot,ToeDev,Adventure,Free,To be announced
AmongUs Challenger,Lunastellia,Lunastellia,Free To Play,"21 Dec, 2022"
Stories from Sol: The Gun-Dog,Space Colony Studios,Indie,Free,"20 Feb, 2025"
Journey Into Darkness,Star Seeker Studio,Indie,Free,"23 Jun, 2023"
Howlbreath,Howlbreath,Adventure,Free To Play,"12 Oct, 2022"
Shipwrecked 64,Squeaks D'Corgeh,Casual,$4.49 USD,"1 Jan, 2024"
The Black Pepper Crew,Quijipixel Games,Strategy,$3.99 USD,"24 Jul, 2023"
3D Don't Die Mr Robot,Infinite State Games,Infinite State Games,Free,Coming soon
Sushi For Robots,Ludipe & Friends,Ludipe & Friends,$2.99 USD,"3 Aug, 2023"
Morrow,Boydem Studios,Adventure,$0.90 USD,"21 Oct, 2022"
Hunt: Showdown 1896 – Frau Perchta,Crytek,Crytek,$8.99 USD,"13 Dec, 2022"
Island Defender Jets,ArticlesByAPhysicist,Simulation,$0.90 USD,"6 Nov, 2022"
Aero GPX,Aaron McDevitt,Racing,$8.19 USD,"6 Aug, 2024"
Dragonspire,Lionheart Games,Indie,$2.99 USD,"14 Jul, 2023"
Dwarf Star,Calvin Williams,Casual,$2.99 USD,"7 Nov, 2022"
Realm of Dread,Delta Bright,Adventure,$6.19 USD,"29 Jan, 2024"
Chicken Fight,Light Bulb Engine,Adventure,Free To Play,"5 May, 2023"
Cognition Method,Team Cognition,Adventure,Free,Coming soon
Demonheart: The Ice Demon - Artbook,Rolling Crown,Casual,$4.99 USD,"14 Nov, 2022"
Desktop Farm Remastered,3dm_live_wallpapers,Indie,$1.89 USD,"19 Nov, 2022"
PhaigeX: Hyperspace Survivors,Traitorean Games,Casual,$2.99 USD,"24 Apr, 2023"
Quatro! - Founder DLC,CyberDoesStuff,CyberDoesStuff,$2.49 USD,"15 Nov, 2022"
On Dark Terms,Dimensionless Games,Indie,$4.49 USD,"6 Feb, 2024"
Drift: Space Survival,KAR Games,Indie,Free,"12 May, 2023"
Lost In Malul,Team Malul,Adventure,Free,"14 Oct, 2022"
maboroshi caravan,Dear Done Dead,Indie,$2.49 USD,"14 Dec, 2023"
Meta Meet Cute!!! + Upgrade,"StudioThursday, Inc.",Casual,$5.49 USD,"16 Feb, 2024"
Hypnotizing Beautiful Sisters Who Piss Me Off,GamesSafu,Simulation,$8.19 USD,"4 Nov, 2022"
The Forgotten Concluder,Kunpo Games,Kunpo Games,$11.99 USD,"26 Apr, 2023"
Sticky Notes,独立游戏酸奶菌,独立游戏酸奶菌,$1.29 USD,"7 Apr, 2023"
キミもvtuberにならないか？,15pm,15pm,Free,"31 Oct, 2022"
Handyman Corporation: Prologue,YuzuGames,Indie,Free To Play,"16 Dec, 2022"
魔卡幻想（Heroines Fantasy Inherit）,iFree Studio,Free To Play,Free,"30 Nov, 2022"
Farm Manager 2021 - Floriculture DLC,Cleversan Games,Simulation,$2.99 USD,"8 Dec, 2022"
City Metro Simulator,Buru SRO,Casual,$0.90 USD,"23 Dec, 2022"
Highway Cross,Beam Bong Games,Casual,$0.90 USD,"17 Oct, 2022"
One More Dungeon 2 Soundtrack,Stately Snail,One More Dungeon,Free,"27 Sep, 2022"
Decks of the Damned,Thorian Games,Simulation,Free,To be announced
Shadow Heroes,Tower Games,Indie,$3.99 USD,"10 Oct, 2022"
Shadow Heroes,Tower Games,Indie,$3.99 USD,"10 Oct, 2022"
Under The Shack,Grumpy Guppy Games,Grumpy Guppy Games,$0.90 USD,"1 Nov, 2022"
Save Santa,Trinnky's Studio,Adventure,$1.89 USD,"30 Nov, 2022"
Blessed Work,Nibb Games,Indie,$1.89 USD,"20 Dec, 2022"
Big Adventure: Trip to Europe 3 - Collector's Edition,AVI Games,AVI Games,$3.49 USD,"16 Oct, 2022"
Waste It - Millionaire DLC,PaulArt,Simulation,$1.29 USD,"1 Oct, 2022"
Waste It - Billionaire DLC,PaulArt,Simulation,$1.89 USD,"1 Oct, 2022"
Terminal Breach,AcidRain,Casual,$2.99 USD,"13 Apr, 2023"
SUR5,Katharsis,Massively Multiplayer,Free To Play,"1 Apr, 2023"
Light Fairytale Episode 3,neko.works,Adventure,Free,Coming soon
Pitstop in Purgatory Demo,Tymedust Games,Indie,Free,"21 Sep, 2022"
SobokoSnake,SoboDev,Strategy,Free,To be announced
Hidden Shapes - Trick or Cats,YAW Studios,Indie,$1.29 USD,"20 Oct, 2022"
Virtual Sailor NG Additional Scenery and Boats,Ilan Papini,Simulation,Free To Play,"26 Sep, 2022"
Just a To the Moon Series Beach Episode,Freebird Games,Indie,$4.49 USD,"20 Sep, 2024"
Ace Pilot Europe,Hubert cachat,Indie,Free,"24 Oct, 2022"
Asia Empire 2027,iGindisGames,Strategy,Free,"8 Oct, 2022"
Tribu,Iron Lizard Games,Adventure,$5.49 USD,"6 Jan, 2023"
Vampire Rancher,borispixel,RPG,Free,2025
Kingdoms of the Dump,Roach Games,Roach Games,Free,To be announced
Save Santa,Trinnky's Studio,Adventure,$1.89 USD,"30 Nov, 2022"
Flappy Bat 2,Paul Connor,Casual,$2.99 USD,"30 Oct, 2022"
Aroma,Oyashiro.dev,Indie,Free To Play,"9 Dec, 2022"
Mr. Honeybunch,Mr Honeybunch Productions,Mr Honeybunch Productions,Free,Coming soon
Dungeon of Final Glory,Pulsar Storm,RPG,Free,To be announced
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Warship,"SmiteWorks USA, LLC",RPG,$6.79 USD,"18 Oct, 2022"
Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Winter Forest,"SmiteWorks USA, LLC",RPG,$6.99 USD,"1 Nov, 2022"
Super Jumpy Ball,Pretty Fly Games,Casual,$2.49 USD,"11 Nov, 2022"
Demiurges,Berih,RPG,Free,"20 Nov, 2024"
Escape The Escape Rooms,#LOL Entertainment,Simulation,Free,Coming soon
Sumiii,Levelonesucks,Casual,$2.99 USD,"5 Oct, 2022"
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 3,"SmiteWorks USA, LLC",RPG,$4.99 USD,"8 Nov, 2022"
Fantasy Grounds - Shadow of the Demon Lord Adventure Pack 4,"SmiteWorks USA, LLC",RPG,$4.99 USD,"15 Nov, 2022"
Monster Girl2,DMgames,Casual,Free To Play,"18 Jan, 2023"
Adanath,Upgrade Entertainment,Adventure,Free,"31 Dec, 2024"
Aerial Platforms,High Performance Games,Adventure,$2.49 USD,"18 May, 2023"
Mount Farewell,EmInSpace,Adventure,$2.99 USD,"27 Jan, 2023"
Haunted: Attack of the Dead Men,GameBeast Productions,Indie,$6.19 USD,"6 Aug, 2024"
